slice,area_cortex_mm2,cortical_ratio,E_mean_GPa,I_sagittal_mm4,IE_sagittal_GPa_mm4,I_frontal_mm4,IE_frontal_GPa_mm4,J_polar_mm4,JE_polar_GPa_mm4,Section_Modulus_S,Weighted_Section_Modulus_SE
0,67.995,0.6362105263157896,1.3257604,512.0638549077596,394.572677722836,548.713032453673,605.8145613094787,1060.7768873614327,1000.3872390323146,92.10148821879093,70.96913886900452
1,71.64,0.6703157894736842,2.2271807,548.1978430413787,771.0863976340913,637.9462589804491,993.2743459496584,1186.1441020218278,1764.3607435837498,96.00129428537831,135.03389901724788
2,73.89,0.6913684210526316,2.3126965,570.825347091961,849.992781159514,692.8256139692448,1100.0461793835634,1263.6509610612056,1950.0389605430773,100.20582442509381,149.21241291295658
3,79.785,0.7465263157894737,2.3808434,638.3844680996192,1003.853773521219,843.5392385310912,1291.671551261531,1481.9237066307105,2295.5253247827495,110.25364610988537,173.37285636249257
5,191.5875,1.8268611885861403,2.643165,2439.487940469759,5343.499516040814,4914.160844176453,10587.28890274299,7353.648784646212,15930.788418783803,344.8435889266841,755.3517768916213
